,0
0,Alabama
1,Arizona
2,Arkansas
3,California
4,Colorado
5,Connecticut
6,Delaware
7,Florida
8,Georgia
9,Hawaii
10,Idaho
11,Illinois
12,Indiana
13,Iowa
14,Kansas
15,Kentucky
16,Louisiana
17,Maine
18,Maryland
19,Massachusetts
20,Michigan
21,Minnesota
22,Mississippi
23,Missouri
24,Montana
25,Nebraska
26,Nevada
27,New Hampshire
28,New Jersey
29,New Mexico
30,New York
31,North Carolina
32,North Dakota
33,Ohio
34,Oklahoma
35,Oregon
36,Pennsylvania
37,Rhode Island
38,South Carolina
39,South Dakota
40,Tennessee
41,Texas
42,Utah
43,Vermont
44,Virginia
45,Washington
46,West Virginia
47,Wisconsin
48,Wyoming
49,Alabama
50,Arizona
51,Arkansas
52,California
53,Colorado
54,Connecticut
55,Delaware
56,Florida
57,Georgia
58,Hawaii
59,Idaho
60,Illinois
61,Indiana
62,Iowa
63,Kansas
64,Kentucky
65,Louisiana
66,Maine
67,Maryland
68,Massachusetts
69,Michigan
70,Minnesota
71,Mississippi
72,Missouri
73,Montana
74,Nebraska
75,Nevada
76,New Hampshire
77,New Jersey
78,New Mexico
79,New York
80,North Carolina
81,North Dakota
82,Ohio
83,Oklahoma
84,Oregon
85,Pennsylvania
86,Rhode Island
87,South Carolina
88,South Dakota
89,Tennessee
90,Texas
91,Utah
92,Vermont
93,Virginia
94,Washington
95,West Virginia
96,Wisconsin
97,Wyoming
